,Wallet,sc,sdc,tc,tdc,mc,bmdc,tmdc,Wallet Centrality
30,0x54d98af83b3067ca09557e21167d76fd7f1ef60b,0.00971659919028336,0.21250000000000002,0.0,0.0,0.0,0.0,0.0,0.2222165991902834
31,0x01660cd179834fdb8cb7bd71506fbda81b52c23e,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
32,0x6fc186492a84798c84ca3af74828758b7a917a6b,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
33,0x329d65f3aea8a35f30e0a9f73d76e9890a41766d,0.010931174089068778,0.4,0.0,0.0,0.0,0.0,0.0,0.4109311740890688
34,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,0.0352226720647773,0.13555291319857313,0.0,0.0,0.0,0.0,0.0,0.17077558526335043
35,0x72bed0242b543bc76a8a776cc69d69f3581f3b6d,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
36,0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a,0.15789473684210525,0.10068639053254436,0.0,0.0,0.0,0.0,0.0,0.2585811273746496
37,0xdb481c96b0d5aeb30402cb520042a6cbe1709819,0.00364372469635626,0.4,0.0,0.0,0.0,0.0,0.0,0.4036437246963563
38,0x39611cdf9f39775d01cb0cdad4537d278c456aee,0.00364372469635626,0.4,0.0,0.0,0.0,0.0,0.0,0.4036437246963563
39,0xf6a1a3c999c80549d4705c44b8242fd42de58e32,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
40,0x9007f442da02f1c1198029feb227ef3953d9db3d,0.00364372469635626,0.4,0.0,0.0,0.0,0.0,0.0,0.4036437246963563
41,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,0.3522267206477733,0.27017360285374553,0.0,0.0,0.0,0.0,0.0,0.6224003235015187
42,0xb6cc0677384b93111138358668527652b818f653,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
43,0x214bada6a518b27aa8d71063a8d74bd9e86150b8,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
