,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,Blockchain_6,TxID_1,TxID_2,TxID_3,TxID_4,TxID_5
24,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc,620d24883c8253c5fb8b9375
25,0xc0ffdc61d86f48a656dcf3a813040eeac1e04fca,USDC,Avalanche,Fantom,Avalanche,Fantom,Avalanche,Fantom,620b27c4d3ea681f35ebd612,620b96a8d3ea681f35ebe695,620cdb3ed3ea681f35ec1aa3,620dbd7cd3ea681f35ec3f8a,620e5854dcf15fd1a4280804
26,0xfff50a8e6aae5a0195845a860da58a904b006cea,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cb687d3ea681f35ec1591,620cffe3d3ea681f35ec1fb9,620d4495d3ea681f35ec2c25,620dc971d3ea681f35ec4110,620df20fdcf15fd1a427fa57
27,0x35bfae7048f9c1543b427db1726ef9123b24e5fb,USDT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620f934711d45e0a4966fc29,620fc4fa11d45e0a49670de2,6210490711d45e0a49674cff,62109a7411d45e0a49676c89,6211206811d45e0a49679a0a
28,0x65063be17dcb2442f5c5c46595969bd605073926,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,6209956e2219a24b7e94c8fe,6209a6822219a24b7e94cda3,620ae02c854f936fad893d20,620ae6ca854f936fad89422c,620c2ac8854f936fad899f7f
29,0x65063be17dcb2442f5c5c46595969bd605073926,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,6209a6822219a24b7e94cda3,620ae02c854f936fad893d20,620ae6ca854f936fad89422c,620c2ac8854f936fad899f7f,620c2e79854f936fad89a05b
30,0x486569ab60a865855d10c48d09475bb702c6a7d5,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,62095e75d3ea681f35eb9464,62095eb3d3ea681f35eb9470,620a5a77d3ea681f35ebb778,620a5af5d3ea681f35ebb786,620a8c70d3ea681f35ebbf7f
31,0x054ea27e7212c1a8d738d63ba16bb5e77554448c,USDC,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,621072c711d45e0a49676764,6211803f11d45e0a49681396,621163a111d45e0a4967eb6b,62119ad211d45e0a49683a7d,6211b47d11d45e0a4968596c
32,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f919811d45e0a4966fbe9,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b
33,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3
34,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3,621107cd11d45e0a49679241
35,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Avalanche,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a45cf854f936fad88cab4,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351
36,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9
37,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d
38,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b
39,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185
40,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,Polygon,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185,620cd1501ddd18c557e91d13
41,0x2b9c84167c03f0867e018fb92aee47fd5afa8931,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,Avalanche,6209949dd3ea681f35eb9d9f,620a0e7cd3ea681f35ebadc5,620a62a0d3ea681f35ebb8bd,620a7561d3ea681f35ebbbe9,620b4d05d3ea681f35ebdb0c
42,0x0b368fbdcf7e0042614af02b446e11061fd93084,MIM,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,620fb8e09e1cf703a57a1511,620fb91e9e1cf703a57a151a,620fcbe29e1cf703a57a18aa,620fe9b49e1cf703a57a1dee,621053699e1cf703a57a2b8a
43,0x0b368fbdcf7e0042614af02b446e11061fd93084,MIM,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,Avalanche,620fb91e9e1cf703a57a151a,620fcbe29e1cf703a57a18aa,620fe9b49e1cf703a57a1dee,621053699e1cf703a57a2b8a,62106ff29e1cf703a57a2f00
44,0xe0c1efcfe9eddcddf20f476473aa1db95bfd62bb,YOSHI,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620b78c3854f936fad8965d1,620c6295854f936fad89bc85,620cb55726b3d8ba9857db66,620d0a663c8253c5fb8b8b89,620df3399e7d5ed1f4f40c13
45,0xe0c1efcfe9eddcddf20f476473aa1db95bfd62bb,YOSHI,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620c6295854f936fad89bc85,620cb55726b3d8ba9857db66,620d0a663c8253c5fb8b8b89,620df3399e7d5ed1f4f40c13,620e2ec362d48eee70edf59b
46,0xe0c1efcfe9eddcddf20f476473aa1db95bfd62bb,YOSHI,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cb55726b3d8ba9857db66,620d0a663c8253c5fb8b8b89,620df3399e7d5ed1f4f40c13,620e2ec362d48eee70edf59b,620f321b2aaabc039b736e3b
47,0x2f5f8aede9ad024b08bbb9ec92a09c109e224a4e,USDC,Fantom,Polygon,Fantom,BNB CHAIN,Fantom,Avalanche,620a074e854f936fad88be0d,620a535a854f936fad88ccff,620a8094854f936fad88df27,620a8216854f936fad88e00b,620b98e0854f936fad896e8d
48,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620b5de7854f936fad895d64,620b6000854f936fad895eb9,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0
49,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b6000854f936fad895eb9,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f
50,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774
51,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774,620c5e47854f936fad89b90d
52,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774,620c5e47854f936fad89b90d,620d9e173c8253c5fb8bc0b9
53,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620c5986854f936fad89b53f,620c5c91854f936fad89b774,620c5e47854f936fad89b90d,620d9e173c8253c5fb8bc0b9,620da0c23c8253c5fb8bc1ff
54,0xea4274a606026626cfac12a19dd78c2ba1f8a401,USDC,Fantom,Avalanche,BNB CHAIN,Fantom,BNB CHAIN,Fantom,62098afed3ea681f35eb9c1f,620a0518854f936fad88bdc5,620aa11a854f936fad88f5ac,620bd3a1d3ea681f35ebf1fa,620be57e854f936fad898fff
55,0x9449ee434c633a1096d9e622edaa5a3b6d292d5f,USDC,Avalanche,Fantom,Avalanche,Fantom,Avalanche,BNB CHAIN,620bee45854f936fad89925b,620beee6854f936fad899277,620c7515854f936fad89c5fc,620c964826b3d8ba9857cf27,620d0c2f3c8253c5fb8b8be6
56,0x9449ee434c633a1096d9e622edaa5a3b6d292d5f,USDC,Fantom,Avalanche,Fantom,Avalanche,BNB CHAIN,Fantom,620beee6854f936fad899277,620c7515854f936fad89c5fc,620c964826b3d8ba9857cf27,620d0c2f3c8253c5fb8b8be6,620d0cd43c8253c5fb8b8c1b
57,0x27878afd9e691936d71cc660b0a809ac1fa4ef89,USDC,BNB CHAIN,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Fantom,620b37be854f936fad894ee7,620baa80854f936fad89738c,620baab7854f936fad8973a9,620bb29b854f936fad89763d,620bbbb3854f936fad897b30
58,0x27878afd9e691936d71cc660b0a809ac1fa4ef89,USDC,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Fantom,BNB CHAIN,620baa80854f936fad89738c,620baab7854f936fad8973a9,620bb29b854f936fad89763d,620bbbb3854f936fad897b30,620c42cf854f936fad89a9f6
59,0xe7bb22497d21982b49b5e0bd1b3278465b64da30,USDC,Fantom,Avalanche,Fantom,Avalanche,Fantom,BNB CHAIN,620a67cd854f936fad88d358,620b8e54854f936fad896bd6,620b9fac854f936fad897071,620bbc89854f936fad897c19,620bc784854f936fad898767
60,0x00cf291c713f204b1ac03f86a8ed5d11acb4fb7a,USDC,Ethereum,Fantom,Avalanche,BNB CHAIN,Fantom,BNB CHAIN,620e5bbcdcf15fd1a4280896,620e5d1462d48eee70ee0afc,620e5e7562d48eee70ee0c7a,620e6fa362d48eee70ee20d6,620ed61edcf15fd1a4281cc0
61,0x00cf291c713f204b1ac03f86a8ed5d11acb4fb7a,USDC,Fantom,Avalanche,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e5d1462d48eee70ee0afc,620e5e7562d48eee70ee0c7a,620e6fa362d48eee70ee20d6,620ed61edcf15fd1a4281cc0,620f05bbdcf15fd1a4282312
62,0x2211f83b542e424c0150d45186c6d186c31f55a6,MATIC,Polygon,Fantom,Polygon,Fantom,Polygon,Fantom,620ae006d3ea681f35ebcc1e,620bbe77d3ea681f35ebedf7,620c1314d3ea681f35ebfd9c,620c3858d3ea681f35ec03bc,620c426ed3ea681f35ec0567
63,0x6c9c8e73063e2e0e8773a19f71bc1c74962c5afe,MIM,Fantom,Avalanche,Fantom,Avalanche,Fantom,Avalanche,620b7d81854f936fad89667d,620c79f4854f936fad89c728,620cbebe26b3d8ba9857dde9,620d7fc23c8253c5fb8bb919,620d8a5d3c8253c5fb8bbb33
64,0xbbf1534683379cb7208a18eebf8d20f477d4b0b9,ETH,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,62093803d3ea681f35eb8d72,620943402219a24b7e94b9ab,62095bdcd3ea681f35eb93cc,620976a02219a24b7e94c472,6209828bd3ea681f35eb9aad
65,0xa3ee74a2487d21d04dcc13a95221d5e2985fc292,USDT,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620ab3de854f936fad8909dd,620ab590854f936fad890c18,620ba3af854f936fad89714b,620bba4f854f936fad8979a7,620cc25a26b3d8ba9857decd
