,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
106,0xa76cbd9b7d0e994266e8ca9f68df62f4e48c033c,FXS,Ethereum,Fantom,BNB CHAIN,620a11de854f936fad88c000,620a1308854f936fad88c019
107,0xec24164ad0dbdbf850ec42493f70d620453b5976,USDC,BNB CHAIN,Fantom,BNB CHAIN,6209e33f2219a24b7e94d7b9,6209e5fed3ea681f35eba829
108,0xe6cf3c4614f92755fd82a24bb6dad74211024b55,AVAX,Avalanche,Fantom,Avalanche,620edc6adcf15fd1a4281d9b,620edddbdcf15fd1a4281dc5
109,0x383c88957e2346d23892a6427869c2630b046f48,USDT,Polygon,BNB CHAIN,Polygon,620f9f0311d45e0a4966fedf,620fa03711d45e0a4966ff1f
110,0xe7f76afdd0c8bf0bed701de1d4e675bd0967bcd8,MIM,BNB CHAIN,Fantom,Avalanche,620f28006e600401c2649ccc,620f287d6e600401c2649ce2
111,0x7beb48dcfc6698a32a630c8aa4291bd1c26937a7,USDC,Fantom,BNB CHAIN,Fantom,620afc5a854f936fad894615,620afd39854f936fad89463a
112,0xea9ea125ac1f5b219458d408daabeaf6103d7201,MIM,Avalanche,Fantom,BNB CHAIN,621179c59e1cf703a57a54b0,62117a409e1cf703a57a54b7
113,0xd88afca328b2de9d357a135012183dcff1983a6e,USDT,BNB CHAIN,Fantom,Polygon,62125a4f9e1cf703a57a7445,62125bc99e1cf703a57a748c
114,0xa16be2909ed0e2c65b8d5d03ac497974ab71e501,USDC,Fantom,Avalanche,BNB CHAIN,6210e07211d45e0a4967842a,6210e1f511d45e0a4967853e
115,0x16d77425a9eaeb92cd2ad10e04e54ef93c17a8cf,USDC,Fantom,Ethereum,Fantom,620d0cb3d3ea681f35ec2245,620d0e1fd3ea681f35ec2286
116,0x16d77425a9eaeb92cd2ad10e04e54ef93c17a8cf,USDC,Ethereum,Fantom,Avalanche,620d0e1fd3ea681f35ec2286,620d0e6fd3ea681f35ec2297
117,0xdcc896d48b17ecc88a9011057294eb0905bcb240,USDC,Avalanche,BNB CHAIN,Polygon,621242f411d45e0a49687b4c,6212436711d45e0a49687bc1
118,0x65b493f1321433d744a770701f5a7f3a42e25b0e,MIM,Avalanche,Polygon,Fantom,62094d27d3ea681f35eb913d,62095025d3ea681f35eb91be
119,0x754662f3162d2565235d1bd56718d8d3f1016944,USDC,BNB CHAIN,Fantom,Avalanche,62096812d3ea681f35eb9646,62096850d3ea681f35eb9651
