,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
94,0x987e1a3c272420f2a4c2d3ca7ac3d9350bda2f70,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620fcef69e1cf703a57a1960,621058be9e1cf703a57a2c39,621133369e1cf703a57a4a74
95,0x987e1a3c272420f2a4c2d3ca7ac3d9350bda2f70,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,621058be9e1cf703a57a2c39,621133369e1cf703a57a4a74,62117f999e1cf703a57a5563
96,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e7cc862d48eee70ee2e1c,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6
97,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,BNB CHAIN,Fantom,BNB CHAIN,Avalanche,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6,620e81f262d48eee70ee3045
98,0xd6de33b96abe8513a39fb55dd2d5843493cf636d,DAI,Fantom,Avalanche,Fantom,Avalanche,62112dcd9e1cf703a57a4976,6211d9659e1cf703a57a5f92,6212977f9e1cf703a57a7e6d
99,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62095e7d2219a24b7e94c02e,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea
100,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb
101,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fd81211d45e0a496717ea,620fd8e911d45e0a4967189e,621002b511d45e0a49673440
102,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,620e100adcf15fd1a427fdde,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178
103,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e
104,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33
105,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33,620fac869e1cf703a57a1294
106,0x531f001a4d10c21cdcc7dee8a6f25000a1c97408,MIM,Fantom,Avalanche,Fantom,Avalanche,620b4b68d3ea681f35ebdad8,620b4e3dd3ea681f35ebdb41,620bc9c1d3ea681f35ebf006
107,0x531f001a4d10c21cdcc7dee8a6f25000a1c97408,MIM,Avalanche,Fantom,Avalanche,Fantom,620b4e3dd3ea681f35ebdb41,620bc9c1d3ea681f35ebf006,620bfaf5d3ea681f35ebf9a7
108,0x526f78b26436a1a627c9e82880ed9b7afb470b5d,USDT,Fantom,Avalanche,Fantom,Avalanche,620af353d3ea681f35ebcec2,620b398ad3ea681f35ebd871,620b50d4d3ea681f35ebdba5
109,0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,USDT,BNB CHAIN,Polygon,Avalanche,BNB CHAIN,621266bb11d45e0a496894d4,6212686f11d45e0a49689532,62126b6011d45e0a496895e4
110,0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,USDT,Polygon,Avalanche,BNB CHAIN,Avalanche,6212686f11d45e0a49689532,62126b6011d45e0a496895e4,6213109711d45e0a4968c0c5
111,0xc844b9c517c521f745384f2404449fd92b2de152,USDC,Polygon,BNB CHAIN,Fantom,BNB CHAIN,6211ccda11d45e0a49685d1c,6212701511d45e0a496896c0,62127aa011d45e0a496898dd
112,0xc844b9c517c521f745384f2404449fd92b2de152,USDT,Avalanche,Fantom,BNB CHAIN,Fantom,620bcf39854f936fad898a76,620c99d926b3d8ba9857d03c,620cfdf53c8253c5fb8b8802
113,0xc844b9c517c521f745384f2404449fd92b2de152,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620c99d926b3d8ba9857d03c,620cfdf53c8253c5fb8b8802,620d12db3c8253c5fb8b8df0
114,0x3e4789c5ac119b92f414974317283187d704f857,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cb74bd3ea681f35ec15a9,620d0eadd3ea681f35ec229c,620de7f0dcf15fd1a427f927
115,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f53a011d45e0a4966e0ab,620f80a711d45e0a4966f71d,620fb4e811d45e0a49670691
